Your Input,Public Name
WBGene00002083,inf-1
WBGene00012998,Y48C3A.20
WBGene00004782,set-2
WBGene00014112,ZK856.11
WBGene00019162,eif-1.A
WBGene00004488,rps-19
WBGene00007581,alkb-8
WBGene00022232,exos-2
WBGene00013669,tcab-1
WBGene00013967,ZK287.7
WBGene00015461,krr-1
WBGene00006331,sup-26
WBGene00009132,F25H8.2
WBGene00011967,pir-1
WBGene00008455,E02H1.1
WBGene00002080,xpo-3
WBGene00000105,alg-1
WBGene00015524,C06E1.9
WBGene00004439,rpl-25.2
WBGene00003902,pab-1
WBGene00010089,hpo-31
WBGene00014078,ZK792.5
WBGene00008457,E02H1.5
WBGene00017928,tut-1
WBGene00004487,rps-18
WBGene00004478,rps-9
WBGene00008688,rbm-34
WBGene00022301,cpsf-1
WBGene00019881,R05D3.8
WBGene00021476,nsun-4
WBGene00020953,W02G9.3
WBGene00004887,smn-1
WBGene00017319,mrps-9
WBGene00012205,metl-1
WBGene00003081,lsm-7
WBGene00004388,rnp-5
WBGene00003903,pab-2
WBGene00016653,ssb-1
WBGene00006613,trm-1
WBGene00004147,larp-5
WBGene00004434,rpl-22
WBGene00003834,nxf-1
WBGene00000079,adr-1
WBGene00012230,cacn-1
WBGene00012652,emg-1
WBGene00018208,F39G3.3
WBGene00004419,rpl-7A
WBGene00022046,garr-1
WBGene00012730,xrn-1
WBGene00004880,smg-2
WBGene00004700,rsp-3
WBGene00020936,hrpf-1
WBGene00004471,rps-2
WBGene00003078,lsm-4
WBGene00004248,pus-1
WBGene00000080,adr-2
WBGene00017799,F25G6.8
WBGene00019005,F57B10.8
WBGene00008134,C47B2.9
WBGene00018156,ncbp-1
WBGene00045308,C37H5.14
WBGene00010097,srpa-68
WBGene00008549,din-1
WBGene00022192,Y71H2B.2
WBGene00002059,ife-1
WBGene00011758,prp-9
WBGene00018932,mrpl-2
WBGene00001050,dom-3
WBGene00010478,dkc-1
WBGene00009993,F53F4.11
WBGene00004472,rps-3
WBGene00004355,rha-1
WBGene00016607,C43E11.9
WBGene00019862,nrde-3
WBGene00044329,cpsf-4
WBGene00004431,rpl-19
WBGene00011730,drr-2
WBGene00004440,rpl-26
WBGene00004414,rpl-3
WBGene00012904,tiar-2
WBGene00008456,eral-1
WBGene00011589,T07F10.3
WBGene00002061,ife-3
WBGene00004427,rpl-15
WBGene00000040,aco-1
WBGene00022378,Y94H6A.5
WBGene00015487,mrps-17
WBGene00016601,acin-1
WBGene00022056,ddx-35
WBGene00003392,mog-4
WBGene00003904,pabp-2
WBGene00009314,phm-2
WBGene00004424,rpl-12
WBGene00004438,rpl-25.1
WBGene00004416,rpl-5
WBGene00004417,rpl-6
WBGene00004473,rps-4
WBGene00004698,rsp-1
WBGene00004704,rsp-7
WBGene00008379,secs-1
WBGene00006964,xrn-2
